zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,affluence,yelp_perc_1,yelp_perc_2,yelp_perc_3,yelp_perc_4,city
28078,54,127,15,3,199,NC,6920.0,4760.0,3640.0,3050.0,6760.0,2680.0,87859.58288385473,0.271356783919598,0.6381909547738693,0.07537688442211055,0.01507537688442211,Huntersville
28079,17,45,7,2,71,NC,5150.0,3460.0,2540.0,2040.0,2880.0,510.0,65794.63208685162,0.23943661971830985,0.6338028169014085,0.09859154929577464,0.028169014084507043,Indian Trail
28081,5,3,0,0,8,NC,4840.0,3190.0,1520.0,860.0,1020.0,210.0,47755.58419243986,0.625,0.375,0.0,0.0,Kannapolis
28083,10,30,2,1,43,NC,4810.0,3290.0,1480.0,730.0,550.0,50.0,39860.2199816682,0.2325581395348837,0.6976744186046512,0.04651162790697674,0.02325581395348837,Kannapolis
28098,2,3,0,0,5,NC,730.0,540.0,280.0,140.0,150.0,0.0,44361.41304347825,0.4,0.6,0.0,0.0,Lowell
28101,0,1,0,0,1,NC,90.0,80.0,50.0,30.0,100.0,0.0,71071.42857142858,0.0,1.0,0.0,0.0,McAdenville
28104,12,24,5,2,43,NC,3780.0,2140.0,1640.0,1360.0,3140.0,1860.0,92313.21839080461,0.2790697674418605,0.5581395348837209,0.11627906976744184,0.04651162790697674,Matthews
28105,59,133,19,7,218,NC,6150.0,4260.0,2630.0,2040.0,3500.0,1230.0,71277.1327612317,0.2706422018348624,0.6100917431192661,0.0871559633027523,0.03211009174311927,Matthews
28107,1,1,0,0,2,NC,1160.0,750.0,540.0,430.0,530.0,100.0,62250.71225071225,0.5,0.5,0.0,0.0,Midland
28110,20,35,8,0,63,NC,8310.0,5850.0,3260.0,2070.0,2440.0,430.0,52845.48300536673,0.31746031746031744,0.5555555555555556,0.12698412698412698,0.0,Monroe
28112,4,11,4,0,19,NC,4510.0,3170.0,1610.0,940.0,970.0,150.0,47676.211453744494,0.21052631578947367,0.5789473684210527,0.21052631578947367,0.0,Monroe
28120,8,11,1,0,20,NC,3380.0,2420.0,1570.0,1030.0,1360.0,290.0,59477.611940298506,0.4,0.55,0.05,0.0,Mount Holly
